CpGs,Monocytes_EPIC,B-cells_EPIC,CD4T-cells_EPIC,NK-cells_EPIC,CD8T-cells_EPIC,Neutrophils_EPIC
cg08169020,0.8866,0.2615,0.0149,0.0777,0.0164,0.868
cg25913761,0.8363,0.221,0.2816,0.4705,0.3961,0.8293
cg26955540,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915
cg25170017,0.8861,0.5116,0.1021,0.4363,0.0875,0.7042
cg12827637,0.5212,0.3614,0.0227,0.212,0.0225,0.5368
cg19442545,0.2013,0.1137,0.0608,0.041,0.0668,0.1952
cg15838173,0.1819,0.1145,0.0688,0.0588,0.066,0.1798
cg23231163,0.3366,0.2776,0.1749,0.1822,0.1789,0.3249
cg04858631,0.6594,0.1479,0.0787,0.0516,0.1614,0.644
cg19442545,0.2013,0.1137,0.0608,0.041,0.0668,0.1952
cg15838173,0.1819,0.1145,0.0688,0.0588,0.066,0.1798
cg10560079,0.1943,0.0846,0.01,0.0524,0.0107,0.1753
cg11845111,0.1324,0.0998,0.0477,0.0556,0.0453,0.1152
cg27211696,0.2095,0.1225,0.0331,0.0619,0.0339,0.1863
cg00982136,0.4659,0.3645,0.0369,0.0494,0.0385,0.4724
cg22017733,0.434,0.4609,0.129,0.2913,0.1708,0.1845
cg26460530,0.3586,0.3923,0.0568,0.2543,0.0598,0.3042
cg13677741,0.1653,0.1182,0.0109,0.0887,0.0133,0.2101
cg22879098,0.5349,0.5507,0.3692,0.451,0.402,0.5331
cg24082121,0.5822,0.5525,0.2442,0.3097,0.3254,0.5558
cg09642825,0.4598,0.3097,0.1942,0.4086,0.182,0.4433
cg01424562,0.8487,0.5592,0.1068,0.4103,0.1318,0.8368
cg15376996,0.5355,0.4895,0.3402,0.456,0.2595,0.577
cg14789659,0.8194,0.6834,0.2172,0.6203,0.525,0.8535
cg00928816,0.7962,0.6818,0.3266,0.6438,0.553,0.854
cg20746552,0.6966,0.6434,0.321,0.5626,0.5442,0.7588
cg16389209,0.7493,0.6001,0.2884,0.6021,0.496,0.8042
cg19300307,0.8784,0.756,0.5303,0.825,0.7107,0.8563
cg11895835,0.8771,0.2624,0.2625,0.5883,0.317,0.8452
cg03419014,0.8364,0.8285,0.7382,0.7405,0.8015,0.8363
cg14785464,0.4055,0.4053,0.2854,0.2983,0.3742,0.3937
cg06167719,0.4685,0.4815,0.3564,0.3747,0.4603,0.4562
cg09037712,0.7116,0.7505,0.6861,0.667,0.7361,0.7006
cg06340704,0.7613,0.714,0.3902,0.4906,0.4233,0.7775
cg12474798,0.5198,0.4197,0.2904,0.498,0.3472,0.5324
cg20684110,0.5365,0.3919,0.3404,0.5153,0.4051,0.5404
cg01005506,0.3272,0.3353,0.2354,0.3152,0.257,0.3289
cg18856478,0.9477,0.941,0.9361,0.9174,0.9398,0.9456
cg27189395,0.3106,0.3252,0.2104,0.2478,0.2322,0.3024
cg04043919,0.2821,0.3054,0.2812,0.3322,0.2957,0.3046
cg26033520,0.7498,0.8209,0.6811,0.4038,0.5694,0.7561
cg05507654,0.1953,0.0449,0.0537,0.1751,0.0725,0.2326
cg05056497,0.7282,0.5957,0.2246,0.185,0.3757,0.4537
cg25913761,0.8363,0.221,0.2816,0.4705,0.3961,0.8293
cg26955540,0.7658,0.0222,0.1492,0.4005,0.3474,0.7915
cg24275356,0.2794,0.264,0.0843,0.0754,0.0748,0.2495
cg26953232,0.4601,0.4022,0.1396,0.1562,0.1308,0.4176
cg00936790,0.8,0.5784,0.1317,0.5352,0.2861,0.7899
cg05258935,0.9509,0.9555,0.9521,0.95,0.9602,0.9363
cg12474798,0.5198,0.4197,0.2904,0.498,0.3472,0.5324
cg20684110,0.5365,0.3919,0.3404,0.5153,0.4051,0.5404
cg01005506,0.3272,0.3353,0.2354,0.3152,0.257,0.3289
cg03419014,0.8364,0.8285,0.7382,0.7405,0.8015,0.8363
cg14785464,0.4055,0.4053,0.2854,0.2983,0.3742,0.3937
cg06167719,0.4685,0.4815,0.3564,0.3747,0.4603,0.4562
cg09037712,0.7116,0.7505,0.6861,0.667,0.7361,0.7006
cg23220823,0.3931,0.1386,0.0916,0.128,0.0894,0.4259
cg08857351,0.232,0.1917,0.1394,0.2206,0.1682,0.2337
cg02486646,0.1347,0.1188,0.0702,0.1241,0.089,0.1468
cg08474651,0.1932,0.2666,0.163,0.1245,0.148,0.2128
cg27395200,0.6855,0.6112,0.2654,0.3709,0.3032,0.6158
cg07275218,0.6981,0.6353,0.3061,0.4302,0.3325,0.6668
cg10509607,0.7058,0.6731,0.0629,0.6437,0.1097,0.6333
cg14855367,0.8451,0.5886,0.6809,0.8076,0.8375,0.8167
cg23247274,0.1302,0.0166,0.1512,0.1123,0.0555,0.0604
